state_id,ready_jobs,machine_idle,proc_times_sample,makespan,num_actions,actions
39,"[1, 0, 0, 0]","[0, 1, 1, 0]","[3, 5, 4, 2, 0, 0]",6,2,J1-Op1-M2->sid44; J1-Op1-M3->sid45
40,"[1, 0, 0, 0]","[1, 0, 1, 0]","[3, 5, 4, 2, 0, 0]",6,2,J1-Op1-M1->sid44; J1-Op1-M3->sid47
41,"[1, 0, 0, 0]","[1, 1, 0, 0]","[3, 5, 4, 2, 0, 0]",6,2,J1-Op1-M1->sid45; J1-Op1-M2->sid47
42,"[0, 0, 0, 0]","[0, 0, 0, 1]","[0, 0, 0, 0, 0, 0]",3,1,"('WAIT',)->sid53"
43,"[0, 0, 0, 0]","[0, 0, 0, 1]","[0, 0, 0, 0, 0, 0]",6,1,"('WAIT',)->sid54"
44,"[0, 0, 0, 0]","[0, 0, 1, 0]","[0, 0, 0, 0, 0, 0]",6,1,"('WAIT',)->sid55"
45,"[0, 0, 0, 0]","[0, 1, 0, 0]","[0, 0, 0, 0, 0, 0]",6,1,"('WAIT',)->sid56"
46,"[0, 0, 0, 0]","[0, 0, 0, 1]","[0, 0, 0, 0, 0, 0]",5,1,"('WAIT',)->sid57"
47,"[0, 0, 0, 0]","[1, 0, 0, 0]","[0, 0, 0, 0, 0, 0]",6,1,"('WAIT',)->sid58"
48,"[0, 0, 0, 0]","[0, 0, 0, 1]","[0, 0, 0, 0, 0, 0]",4,1,"('WAIT',)->sid59"
49,"[0, 0, 0, 0]","[0, 1, 0, 0]","[0, 0, 0, 0, 0, 0]",4,1,"('WAIT',)->sid60"
50,"[0, 0, 0, 0]","[0, 0, 1, 0]","[0, 0, 0, 0, 0, 0]",3,1,"('WAIT',)->sid61"
51,"[0, 0, 0, 0]","[1, 0, 0, 0]","[0, 0, 0, 0, 0, 0]",3,1,"('WAIT',)->sid62"
52,"[0, 0, 0, 0]","[0, 1, 0, 0]","[0, 0, 0, 0, 0, 0]",2,1,"('WAIT',)->sid63"
53,"[0, 0, 0, 1]","[0, 0, 0, 1]","[0, 0, 0, 0, 0, 0]",3,1,J4-Op1-M4->sid64
54,"[0, 0, 0, 1]","[0, 0, 0, 1]","[0, 0, 0, 0, 0, 0]",6,1,J4-Op1-M4->sid65
55,"[0, 0, 0, 1]","[0, 0, 1, 0]","[0, 0, 0, 0, 0, 0]",6,1,J4-Op1-M3->sid65
56,"[0, 0, 0, 1]","[0, 1, 0, 0]","[0, 0, 0, 0, 0, 0]",6,1,"('WAIT',)->sid66"
57,"[0, 0, 0, 1]","[0, 0, 0, 1]","[0, 0, 0, 0, 0, 0]",5,1,J4-Op1-M4->sid67
58,"[0, 0, 0, 1]","[1, 0, 0, 0]","[0, 0, 0, 0, 0, 0]",6,1,J4-Op1-M1->sid65
59,"[0, 0, 0, 1]","[0, 0, 0, 1]","[0, 0, 0, 0, 0, 0]",4,1,J4-Op1-M4->sid64
60,"[0, 0, 0, 1]","[0, 1, 0, 0]","[0, 0, 0, 0, 0, 0]",4,1,"('WAIT',)->sid68"
61,"[0, 0, 0, 1]","[0, 0, 1, 0]","[0, 0, 0, 0, 0, 0]",3,1,J4-Op1-M3->sid67
62,"[0, 0, 0, 1]","[1, 0, 0, 0]","[0, 0, 0, 0, 0, 0]",3,1,J4-Op1-M1->sid65
63,"[0, 0, 0, 1]","[0, 1, 0, 0]","[0, 0, 0, 0, 0, 0]",2,1,"('WAIT',)->sid69"
64,"[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]",4,1,"('WAIT',)->sid70"
65,"[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]",6,2,"('WAIT',)->sid71; ('WAIT',)->sid72"
66,"[1, 0, 1, 1]","[1, 1, 1, 0]","[2, 3, 6, 4, 0, 0]",6,7,J1-Op2-M1->sid73; J1-Op2-M2->sid74; J1-Op2-M3->sid75; J3-Op2-M2->sid76; J3-Op2-M3->sid77; J4-Op1-M1->sid78; J4-Op1-M3->sid79
67,"[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]",5,2,"('WAIT',)->sid80; ('WAIT',)->sid81"
68,"[1, 0, 0, 1]","[0, 1, 0, 1]","[2, 3, 6, 4, 0, 0]",4,3,J1-Op2-M2->sid57; J1-Op2-M4->sid56; J4-Op1-M4->sid82
69,"[1, 1, 1, 1]","[1, 1, 1, 1]","[2, 3, 6, 4, 5, 2]",2,13,J1-Op2-M1->sid83; J1-Op2-M2->sid84; J1-Op2-M3->sid85; J1-Op2-M4->sid86; J2-Op2-M1->sid87; J2-Op2-M2->sid88; J2-Op2-M4->sid89; J3-Op2-M2->sid90; J3-Op2-M3->sid91; J3-Op2-M4->sid92; J4-Op1-M1->sid93; J4-Op1-M3->sid94; J4-Op1-M4->sid95
70,"[1, 1, 1, 0]","[1, 1, 1, 0]","[2, 3, 6, 4, 5, 2]",4,7,J1-Op2-M1->sid96; J1-Op2-M2->sid97; J1-Op2-M3->sid98; J2-Op2-M1->sid78; J2-Op2-M2->sid99; J3-Op2-M2->sid100; J3-Op2-M3->sid101
71,"[0, 1, 0, 0]","[0, 0, 1, 0]","[0, 0, 0, 0, 5, 2]",6,1,"('WAIT',)->sid100"
72,"[1, 0, 0, 0]","[1, 0, 0, 0]","[2, 3, 6, 4, 0, 0]",6,1,J1-Op2-M1->sid65
73,"[0, 0, 1, 1]","[0, 1, 1, 0]","[0, 0, 0, 0, 0, 0]",6,3,J3-Op2-M2->sid55; J3-Op2-M3->sid102; J4-Op1-M3->sid103
74,"[0, 0, 1, 1]","[1, 0, 1, 0]","[0, 0, 0, 0, 0, 0]",6,3,J3-Op2-M3->sid104; J4-Op1-M1->sid105; J4-Op1-M3->sid106
75,"[0, 0, 1, 1]","[1, 1, 0, 0]","[0, 0, 0, 0, 0, 0]",9,2,J3-Op2-M2->sid107; J4-Op1-M1->sid108
76,"[1, 0, 0, 1]","[1, 0, 1, 0]","[2, 3, 6, 4, 0, 0]",6,4,J1-Op2-M1->sid55; J1-Op2-M3->sid107; J4-Op1-M1->sid109; J4-Op1-M3->sid110
77,"[1, 0, 0, 1]","[1, 1, 0, 0]","[2, 3, 6, 4, 0, 0]",8,3,J1-Op2-M1->sid102; J1-Op2-M2->sid104; J4-Op1-M1->sid111
78,"[1, 0, 1, 0]","[0, 1, 1, 0]","[2, 3, 6, 4, 0, 0]",8,4,J1-Op2-M2->sid105; J1-Op2-M3->sid108; J3-Op2-M2->sid109; J3-Op2-M3->sid111
79,"[1, 0, 1, 0]","[1, 1, 0, 0]","[2, 3, 6, 4, 0, 0]",7,3,J1-Op2-M1->sid103; J1-Op2-M2->sid106; J3-Op2-M2->sid110
80,"[0, 0, 1, 0]","[0, 0, 1, 0]","[0, 0, 0, 0, 0, 0]",5,1,J3-Op2-M3->sid112
81,"[0, 1, 1, 0]","[1, 0, 1, 0]","[0, 0, 0, 0, 5, 2]",5,2,J2-Op2-M1->sid113; J3-Op2-M3->sid114
82,"[1, 0, 0, 0]","[0, 1, 0, 0]","[2, 3, 6, 4, 0, 0]",5,1,J1-Op2-M2->sid67
83,"[0, 1, 1, 1]","[0, 1, 1, 1]","[0, 0, 0, 0, 5, 2]",4,7,J2-Op2-M2->sid115; J2-Op2-M4->sid116; J3-Op2-M2->sid117; J3-Op2-M3->sid118; J3-Op2-M4->sid119; J4-Op1-M3->sid120; J4-Op1-M4->sid96
84,"[0, 1, 1, 1]","[1, 0, 1, 1]","[0, 0, 0, 0, 5, 2]",5,7,J2-Op2-M1->sid121; J2-Op2-M4->sid122; J3-Op2-M3->sid123; J3-Op2-M4->sid124; J4-Op1-M1->sid125; J4-Op1-M3->sid126; J4-Op1-M4->sid81
85,"[0, 1, 1, 1]","[1, 1, 0, 1]","[0, 0, 0, 0, 5, 2]",8,7,J2-Op2-M1->sid127; J2-Op2-M2->sid128; J2-Op2-M4->sid129; J3-Op2-M2->sid130; J3-Op2-M4->sid131; J4-Op1-M1->sid132; J4-Op1-M4->sid133
86,"[0, 1, 1, 1]","[1, 1, 1, 0]","[0, 0, 0, 0, 5, 2]",6,6,J2-Op2-M1->sid134; J2-Op2-M2->sid74; J3-Op2-M2->sid124; J3-Op2-M3->sid135; J4-Op1-M1->sid136; J4-Op1-M3->sid137
87,"[1, 0, 1, 1]","[0, 1, 1, 1]","[2, 3, 6, 4, 0, 0]",7,8,J1-Op2-M2->sid121; J1-Op2-M3->sid127; J1-Op2-M4->sid134; J3-Op2-M2->sid138; J3-Op2-M3->sid139; J3-Op2-M4->sid140; J4-Op1-M3->sid141; J4-Op1-M4->sid142
